                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0162,                0.72666,                 1.0925,                0.77679,                0.69603,                0.76354,                0.49085,                 1.3058,                 1.0254,                 1.3058,               0.003268,               0.003268,               0.003268
                     36,                 1.0017,                0.70395,                 1.0856,                0.84669,                0.62121,                0.74318,                0.48868,                 1.2996,                 1.0826,                 1.2932,                0.00307,                0.00307,                0.00307
                     37,                0.96677,                0.64281,                 1.0581,                0.81823,                0.65758,                0.76141,                0.49926,                 1.2789,                 1.0157,                 1.2839,               0.002872,               0.002872,               0.002872
                     38,                 0.9329,                0.62747,                 1.0528,                0.80725,                0.66667,                0.75232,                0.49792,                 1.2637,                 1.0208,                 1.2852,               0.002674,               0.002674,               0.002674
                     39,                 0.9433,                0.65632,                 1.0582,                0.77625,                0.66061,                0.75277,                 0.4902,                 1.2867,                 1.0298,                 1.3061,               0.002476,               0.002476,               0.002476
                     40,                0.95263,                0.62846,                 1.0669,                0.75589,                0.70377,                0.75635,                0.49555,                 1.2898,                 1.0182,                 1.3039,               0.002278,               0.002278,               0.002278
                     41,                0.94568,                0.64039,                 1.0659,                0.78354,                0.71212,                0.76259,                0.49282,                 1.3014,                 1.0685,                 1.3146,                0.00208,                0.00208,                0.00208
                     42,                0.91798,                0.58739,                 1.0476,                0.74509,                0.72121,                0.75891,                0.49386,                 1.3066,                 1.0589,                 1.2977,               0.001882,               0.001882,               0.001882
                     43,                0.88281,                0.60496,                 1.0295,                0.83336,                0.64242,                0.76308,                0.50114,                 1.2808,                  1.046,                 1.2866,               0.001684,               0.001684,               0.001684
                     44,                0.91144,                0.59431,                 1.0519,                0.83183,                0.65152,                0.75732,                0.49918,                 1.2829,                  1.024,                 1.2914,               0.001486,               0.001486,               0.001486
                     45,                0.88578,                0.58079,                  1.021,                0.75023,                0.70909,                0.75827,                0.50547,                 1.2551,                 1.0143,                 1.2758,               0.001288,               0.001288,               0.001288
                     46,                0.88153,                0.56115,                 1.0229,                0.78568,                0.68876,                 0.7632,                0.50044,                 1.2658,                 1.0305,                 1.2823,                0.00109,                0.00109,                0.00109
                     47,                0.88648,                0.56403,                 1.0161,                0.77754,                    0.7,                0.76823,                0.49964,                 1.2782,                 1.0382,                  1.296,               0.000892,               0.000892,               0.000892
                     48,                0.85822,                0.53837,                 1.0247,                0.79215,                0.67576,                0.75456,                0.50332,                 1.2524,                 1.0374,                 1.2878,               0.000694,               0.000694,               0.000694
                     49,                0.85592,                0.54595,                 1.0129,                0.75258,                0.70909,                0.75777,                0.50469,                 1.2516,                 1.0441,                 1.2864,               0.000496,               0.000496,               0.000496
